blade station,external surface (gelcoat),external surface (triax),root buildup,spar caps,aft panels,LE panel,shear webs (biax),shear webs (foam),TE reinforcement (uniax),TE reinforcement (foam),internal surfaces (triax),internal surfaces (resin)
1,0.0023828358640301276,0.029715966852313817,0.9232992155396831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027990234118916605,0.016611747625056326
2,0.0026384229506994095,0.03290335273566134,0.8977847811873394,0.015116972865592639,0.0,0.0,0.0,0.0,0.001686536389721344,0.0,0.031307851803043664,0.018562082067942565
3,0.0030098575000304588,0.037535314766146965,0.8809562634864972,0.017301965853396464,0.0,0.0,0.0,0.0,0.0038973466742030964,0.0,0.03597186958112898,0.021327382138596668
4,0.0035069169999800923,0.04373387869656407,0.8583930923270011,0.02022611806730054,0.0,0.0,0.0,0.0,0.006898087595335952,0.0,0.042213580887049705,0.0250283254267687
5,0.004194639031749987,0.05231009086148472,0.82429954591888,0.024273212565335076,0.0,0.0,0.0,0.0,0.013919325535327303,0.0,0.05085247141730098,0.0301507146699219
6,0.0046359145739932476,0.05781288845263305,0.7985354317389787,0.026919840532879387,0.000178208895287683,0.000500857420241372,0.0,0.0,0.021632325157230663,0.0,0.05636520386267048,0.033419329366085535
7,0.004123065808326331,0.05141719100140605,0.6399649874106206,0.02396785846589783,0.0005389620647238949,0.0015201471756973821,0.034100291853654305,0.051086579556036335,0.021609861085076558,0.0,0.10778419208630152,0.06388686349225953
8,0.0044440583875199014,0.05542018016318277,0.6030711949248843,0.025819691475588595,0.0021836644779022274,0.00608496370937729,0.036759671926744585,0.05507066955317533,0.02625474081156056,0.0,0.11609053616237147,0.06880062840769274
9,0.005060570107328452,0.06310855446063413,0.5008052803204147,0.045084041750394585,0.02250838453954498,0.015697933358318608,0.04024344338307945,0.06029080604236031,0.04102149229947505,0.0,0.12947813365921074,0.07670136007923918
10,0.010445714488526815,0.06515638053929369,0.2858980517898243,0.10598419981339957,0.029412387268583605,0.02641935131272618,0.061875614848832916,0.09270448027510053,0.04606800668698766,0.0,0.13889413152253727,0.137141681454216
11,0.010759983420536431,0.0671085674994904,0.24091543998747095,0.20475723164095738,0.03648251266634374,0.032028933981617116,0.045579506519833834,0.06829488935657167,0.047524615587462384,0.00943231533308594,0.11945563379986385,0.1176603702067848
12,0.012007701944878818,0.07488960947742183,0.1495022106510473,0.2725871376545101,0.046235227717506704,0.032745198837111175,0.04005709737116439,0.060016295804856276,0.06592384664455596,0.008362022872181823,0.11981008690940431,0.11786356411536367
